year,hires,terminations,net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,172,895,83.88
2003,1142,192,950,83.19
2004,1135,193,942,83.00
2005,1097,172,925,84.32
2006,1118,173,945,84.53
2007,1090,138,952,87.34
2008,1108,137,971,87.64
2009,1140,143,997,87.46
2010,1099,121,978,88.99
2011,1101,110,991,90.01
2012,1103,102,1001,90.75
2013,1105,88,1017,92.04
2014,1053,80,973,92.40
2015,1059,68,991,93.58
2016,1122,62,1060,94.47
2017,1091,46,1045,95.78
2018,1147,41,1106,96.43
2019,1083,42,1041,96.12
2020,1012,20,992,98.02
